Comune,Provincia,Regione,Elenco pubblicato?,Numero beni trasferiti da Openregio,"Data di pubblicazione, se disponibile",Formato di pubblicazione,"Sono indicati foglio, particella e subpartice","Tipologia dell'immobile È indicato, per ogni bene, se si tratta di un terreno, una villa, un appartamento, un box, un fabbricato rurale ecc.?",Ubicazione È indicato l'indirizzo e il numero civico di ogni bene?, È indicata la consistenza del bene in mq o in ettari?,È specificata quale sia la destinazione del bene tra istituzionale e sociale?,Utilizzazione 1 - È specificato se il bene è già riutilizzato?,Utilizzazione 2 - È indicato l'utilizzo specifico?,È indicata la ragione sociale specifica del soggetto gestore?, È inserito un riferimento all'atto amministrativo di concessione?,È indicato l'oggetto dell'atto di concessione?, È specificata la durata dell'affidamento al concessionario?, Nome Province,Provincia Estesa,Latitudine Provincia,Longitudine Provincia
CATANIA,CT,Sicilia,si,154,2020-03-24,Pdf - Ricercabile,si,si,si,no,si,si,no,si,no,no,no,CT,Catania,37.5,15.0833
FIUMEFREDDO DI SICILIA,CT,Sicilia,no,10,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
GIARRE,CT,Sicilia,no,12,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
GRAVINA DI CATANIA,CT,Sicilia,no,6,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
LICODIA EUBEA,CT,Sicilia,no,20,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
LINGUAGLOSSA,CT,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
MASCALI,CT,Sicilia,no,9,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
MASCALUCIA,CT,Sicilia,si,11,2017-03-27,Pdf - Ricercabile,si,si,si,no,si,si,si,si,si,no,no,CT,Catania,37.5,15.0833
MILITELLO IN VAL DI CATANIA,CT,Sicilia,no,7,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
MISTERBIANCO,CT,Sicilia,si,30,2020-07-15,Pdf - Ricercabile,si,si,si,si,si,si,no,no,si,si,si,CT,Catania,37.5,15.0833
MOTTA SANT'ANASTASIA,CT,Sicilia,no,230,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
NICOLOSI,CT,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
PALAGONIA,CT,Sicilia,no,4,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
PEDARA,CT,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
PIEDIMONTE ETNEO,CT,Sicilia,no,16,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
RAGALNA,CT,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
RAMACCA,CT,Sicilia,no,25,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
SAN GIOVANNI LA PUNTA,CT,Sicilia,si,5,,Pdf - Immagine,si,si,si,no,si,si,no,si,si,si,no,CT,Catania,37.5,15.0833
SAN GREGORIO DI CATANIA,CT,Sicilia,si,11,2020-07-07,Doc,si,si,si,no,no,si,no,no,si,si,no,CT,Catania,37.5,15.0833
SAN PIETRO CLARENZA,CT,Sicilia,no,3,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
SANTA MARIA DI LICODIA,CT,Sicilia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
SANTA VENERINA,CT,Sicilia,no,13,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
SANT'AGATA LI BATTIATI,CT,Sicilia,si,3,2018-04-24,Tabella online non scaricabile,si,si,si,si,si,no,si,si,si,si,no,CT,Catania,37.5,15.0833
TRECASTAGNI,CT,Sicilia,no,60,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
TREMESTIERI ETNEO,CT,Sicilia,no,13,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
VIAGRANDE,CT,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
ZAFFERANA ETNEA,CT,Sicilia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,CT,Catania,37.5,15.0833
AIDONE,EN,Sicilia,no,6,,,no,no,no,no,no,no,no,no,no,no,no,EN,Enna,37.5667,14.2667
ASSORO,EN,Sicilia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,EN,Enna,37.5667,14.2667
BARRAFRANCA,EN,Sicilia,no,7,,,no,no,no,no,no,no,no,no,no,no,no,EN,Enna,37.5667,14.2667
CALASCIBETTA,EN,Sicilia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,EN,Enna,37.5667,14.2667
ENNA,EN,Sicilia,no,10,,,si,si,si,no,no,no,no,no,no,no,no,EN,Enna,37.5667,14.2667
PIAZZA ARMERINA,EN,Sicilia,si,10,2020-02-20,Immagine,si,si,si,no,no,no,si,no,no,no,no,EN,Enna,37.5667,14.2667
PIETRAPERZIA,EN,Sicilia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,EN,Enna,37.5667,14.2667
VALGUARNERA CAROPEPE,EN,Sicilia,no,5,,,no,no,no,no,no,no,no,no,no,no,no,EN,Enna,37.5667,14.2667
VILLAROSA,EN,Sicilia,no,11,,,no,no,no,no,no,no,no,no,no,no,no,EN,Enna,37.5667,14.2667
ANTILLO,ME,Sicilia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
BARCELLONA POZZO DI GOTTO,ME,Sicilia,no,15,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
CAPO D'ORLANDO,ME,Sicilia,no,7,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
CARONIA,ME,Sicilia,no,5,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
FLORESTA,ME,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
FURNARI,ME,Sicilia,si,96,2017-03-26,Pdf - Ricercabile,si,si,no,no,no,no,no,no,si,no,no,ME,Messina,38.1833,15.5667
GAGGI,ME,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
GIOIOSA MAREA,ME,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
LETOJANNI,ME,Sicilia,no,4,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
LIPARI,ME,Sicilia,no,14,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
MESSINA,ME,Sicilia,si,83,2020-05-26,Xls,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
MILAZZO,ME,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
MONTALBANO ELICONA,ME,Sicilia,si,1,2019-04-29,Pdf - Ricercabile,si,si,si,si,si,no,no,no,si,no,no,ME,Messina,38.1833,15.5667
NASO,ME,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
REITANO,ME,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
ROCCALUMERA,ME,Sicilia,si,3,,Pdf - Immagine,si,no,no,no,no,si,no,no,si,si,no,ME,Messina,38.1833,15.5667
ROMETTA,ME,Sicilia,no,42,,,si,si,no,si,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
SANTA TERESA DI RIVA,ME,Sicilia,si,1,2019-11-25,Pdf - Ricercabile,si,no,si,si,no,no,si,no,si,si,no,ME,Messina,38.1833,15.5667
SANT'ALESSIO SICULO,ME,Sicilia,no,4,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
SAPONARA,ME,Sicilia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
SCALETTA ZANCLEA,ME,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
SINAGRA,ME,Sicilia,no,9,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
SPADAFORA,ME,Sicilia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
TAORMINA,ME,Sicilia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
TERME VIGLIATORE,ME,Sicilia,si,4,2020-07-07,Pdf - Ricercabile,si,si,si,si,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
TORREGROTTA,ME,Sicilia,no,9,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
TORRENOVA,ME,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
VILLAFRANCA TIRRENA,ME,Sicilia,no,19,,,no,no,no,no,no,no,no,no,no,no,no,ME,Messina,38.1833,15.5667
ALTAVILLA MILICIA,PA,Sicilia,no,23,,,si,si,si,si,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
ALTOFONTE,PA,Sicilia,si,13,2015-10-25,Pdf - Ricercabile,si,no,si,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
BAGHERIA,PA,Sicilia,si,172,2018-02-06,Pdf - Ricercabile,si,si,si,no,si,si,no,si,si,si,no,PA,Palermo,38.1167,13.35
BALESTRATE,PA,Sicilia,si,6,2018-05-16,Immagine,si,si,si,no,si,si,no,si,si,no,no,PA,Palermo,38.1167,13.35
BAUCINA,PA,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
BELMONTE MEZZAGNO,PA,Sicilia,si,53,2020-06-30,Pdf - Ricercabile,no,si,si,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
BOLOGNETTA,PA,Sicilia,no,3,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
BORGETTO,PA,Sicilia,si,61,2020-06-05,Pdf - Ricercabile,no,si,si,no,si,si,si,no,no,si,no,PA,Palermo,38.1167,13.35
CACCAMO,PA,Sicilia,no,46,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
CAMPOFELICE DI ROCCELLA,PA,Sicilia,no,12,,,si,si,si,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
CAMPOREALE,PA,Sicilia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
CAPACI,PA,Sicilia,si,34,,Pdf - Ricercabile,si,si,si,si,si,si,si,no,si,si,no,PA,Palermo,38.1167,13.35
CARINI,PA,Sicilia,si,94,,Pdf - Ricercabile,si,si,no,no,si,si,no,no,si,no,no,PA,Palermo,38.1167,13.35
CASTELDACCIA,PA,Sicilia,si,8,2020-07-31,Pdf - Ricercabile,si,si,si,si,si,no,si,si,no,no,si,PA,Palermo,38.1167,13.35
CASTRONOVO DI SICILIA,PA,Sicilia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
CERDA,PA,Sicilia,no,10,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
CIMINNA,PA,Sicilia,si,26,2015-08-04,Pdf - Ricercabile,si,no,si,si,si,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
CINISI,PA,Sicilia,si,43,2020-07-03,Immagine,si,si,no,si,si,no,si,no,si,no,no,PA,Palermo,38.1167,13.35
COLLESANO,PA,Sicilia,si,13,2018-07-25,Immagine,si,si,si,no,si,no,no,no,si,no,no,PA,Palermo,38.1167,13.35
CORLEONE,PA,Sicilia,si,37,,Pdf - Ricercabile,si,si,si,no,si,no,no,no,si,no,no,PA,Palermo,38.1167,13.35
FICARAZZI,PA,Sicilia,si,11,2017-12-31,Xls,si,si,si,si,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
GIARDINELLO,PA,Sicilia,si,4,2017-05-11,Immagine,si,si,si,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
ISOLA DELLE FEMMINE,PA,Sicilia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
LASCARI,PA,Sicilia,no,4,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
MARINEO,PA,Sicilia,si,3,2014-01-01,Pdf - Ricercabile,si,si,no,no,si,no,no,si,si,no,no,PA,Palermo,38.1167,13.35
MEZZOJUSO,PA,Sicilia,si,3,,Pdf - Ricercabile,si,si,si,si,no,si,no,no,si,no,no,PA,Palermo,38.1167,13.35
MISILMERI,PA,Sicilia,no,63,,,si,si,si,si,si,no,si,no,no,no,no,PA,Palermo,38.1167,13.35
MONREALE,PA,Sicilia,no,130,,,si,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
MONTELEPRE,PA,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
PALERMO,PA,Sicilia,si,1991,2020-01-31,Pdf - Ricercabile,no,si,no,si,si,si,no,si,si,no,si,PA,Palermo,38.1167,13.35
PARTINICO,PA,Sicilia,no,129,,,si,si,si,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
PETRALIA SOPRANA,PA,Sicilia,no,4,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
PIANA DEGLI ALBANESI,PA,Sicilia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
POLIZZI GENEROSA,PA,Sicilia,no,3,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
POLLINA,PA,Sicilia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
PRIZZI,PA,Sicilia,no,5,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
ROCCAMENA,PA,Sicilia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
SAN CIPIRELLO,PA,Sicilia,no,12,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
SAN GIUSEPPE JATO,PA,Sicilia,si,34,,Xml,si,si,si,si,si,no,si,no,si,no,no,PA,Palermo,38.1167,13.35
SANTA CRISTINA GELA,PA,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
SANTA FLAVIA,PA,Sicilia,no,23,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
TERMINI IMERESE,PA,Sicilia,si,80,2020-02-20,Immagine,si,si,si,no,si,si,no,no,si,no,no,PA,Palermo,38.1167,13.35
TERRASINI,PA,Sicilia,si,83,2017-02-24,Immagine,si,si,si,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
TORRETTA,PA,Sicilia,no,16,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
TRABIA,PA,Sicilia,si,101,,Xls,si,si,si,si,si,si,si,si,si,si,si,PA,Palermo,38.1167,13.35
TRAPPETO,PA,Sicilia,si,6,2018-05-16,Immagine,si,si,si,no,si,no,no,si,si,no,no,PA,Palermo,38.1167,13.35
VENTIMIGLIA DI SICILIA,PA,Sicilia,no,7,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
VICARI,PA,Sicilia,no,7,,,si,si,si,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
VILLABATE,PA,Sicilia,si,50,,Xml,si,si,si,si,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
VILLAFRATI,PA,Sicilia,no,8,,,no,no,no,no,no,no,no,no,no,no,no,PA,Palermo,38.1167,13.35
ACATE,RG,Sicilia,no,14,,,no,no,no,no,no,no,no,no,no,no,no,RG,Ragusa,36.9333,14.7333
CHIARAMONTE GULFI,RG,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,RG,Ragusa,36.9333,14.7333
COMISO,RG,Sicilia,no,4,,,no,no,no,no,no,no,no,no,no,no,no,RG,Ragusa,36.9333,14.7333
MODICA,RG,Sicilia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,RG,Ragusa,36.9333,14.7333
POZZALLO,RG,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,RG,Ragusa,36.9333,14.7333
RAGUSA,RG,Sicilia,si,19,2018-09-02,Pdf - Ricercabile,si,no,si,no,no,no,no,no,si,si,no,RG,Ragusa,36.9333,14.7333
SANTA CROCE CAMERINA,RG,Sicilia,no,6,,,no,no,no,no,no,no,no,no,no,no,no,RG,Ragusa,36.9333,14.7333
SCICLI,RG,Sicilia,no,11,,,si,si,si,no,no,no,no,no,no,no,no,RG,Ragusa,36.9333,14.7333
VITTORIA,RG,Sicilia,si,43,2011-11-29,Pdf - Ricercabile,si,si,si,si,si,si,no,si,si,no,si,RG,Ragusa,36.9333,14.7333
AUGUSTA,SR,Sicilia,si,3,2017-01-01,Pdf - Ricercabile,si,si,si,si,no,no,no,no,no,no,no,SR,Siracusa,37.0667,15.2833
AVOLA,SR,Sicilia,no,26,,,no,no,no,no,no,no,no,no,no,no,no,SR,Siracusa,37.0667,15.2833
CARLENTINI,SR,Sicilia,si,4,,Pdf - Ricercabile,si,si,si,no,no,no,no,si,si,si,no,SR,Siracusa,37.0667,15.2833
FLORIDIA,SR,Sicilia,si,3,2019-03-21,Pdf - Ricercabile,si,si,si,no,no,no,si,si,si,no,no,SR,Siracusa,37.0667,15.2833
FRANCOFONTE,SR,Sicilia,no,8,,,no,no,no,no,no,no,no,no,no,no,no,SR,Siracusa,37.0667,15.2833
LENTINI,SR,Sicilia,no,22,,,si,si,no,si,no,si,no,no,no,no,no,SR,Siracusa,37.0667,15.2833
MELILLI,SR,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,SR,Siracusa,37.0667,15.2833
NOTO,SR,Sicilia,si,48,2020-08-26,Pdf - Ricercabile,si,si,si,no,no,si,si,no,si,si,no,SR,Siracusa,37.0667,15.2833
PACHINO,SR,Sicilia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,SR,Siracusa,37.0667,15.2833
PRIOLO GARGALLO,SR,Sicilia,no,4,,,no,si,no,no,si,no,no,no,no,no,no,SR,Siracusa,37.0667,15.2833
ROSOLINI,SR,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,SR,Siracusa,37.0667,15.2833
SIRACUSA,SR,Sicilia,si,24,2015-10-29,Pdf - Ricercabile,no,si,si,no,si,no,si,no,si,no,no,SR,Siracusa,37.0667,15.2833
ALCAMO,TP,Sicilia,si,68,2020-08-10,Pdf - Ricercabile,si,si,si,no,si,si,no,no,si,si,no,TP,Trapani,38.0167,12.5333
BUSETO PALIZZOLO,TP,Sicilia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,TP,Trapani,38.0167,12.5333
CAMPOBELLO DI MAZARA,TP,Sicilia,si,30,,Pdf - Ricercabile,si,si,si,no,si,si,si,si,si,si,no,TP,Trapani,38.0167,12.5333
CASTELLAMMARE DEL GOLFO,TP,Sicilia,si,40,2019-03-11,Immagine,si,si,si,no,si,si,no,no,no,no,no,TP,Trapani,38.0167,12.5333
CASTELVETRANO,TP,Sicilia,si,130,2018-11-01,Pdf - Ricercabile,si,si,no,si,si,si,no,si,si,si,no,TP,Trapani,38.0167,12.5333
CUSTONACI,TP,Sicilia,no,29,,,no,no,no,no,no,no,no,no,no,no,no,TP,Trapani,38.0167,12.5333
ERICE,TP,Sicilia,si,27,2013-11-19,Pdf - Ricercabile,si,si,si,si,no,no,si,si,si,si,no,TP,Trapani,38.0167,12.5333
FAVIGNANA,TP,Sicilia,no,1,,,no,no,no,no,no,no,no,no,no,no,no,TP,Trapani,38.0167,12.5333
MARSALA,TP,Sicilia,si,35,2020-07-10,Pdf - Ricercabile,si,si,si,si,si,si,si,si,si,si,no,TP,Trapani,38.0167,12.5333
MAZARA DEL VALLO,TP,Sicilia,si,68,2017-05-13,Pdf - Ricercabile,si,si,si,si,si,si,si,si,si,si,no,TP,Trapani,38.0167,12.5333
PACECO,TP,Sicilia,no,15,,,no,no,no,no,no,no,no,no,no,no,no,TP,Trapani,38.0167,12.5333
PANTELLERIA,TP,Sicilia,no,2,,,no,no,no,no,no,no,no,no,no,no,no,TP,Trapani,38.0167,12.5333
PARTANNA,TP,Sicilia,si,44,2015-06-19,Doc,si,si,si,si,no,no,si,no,no,no,no,TP,Trapani,38.0167,12.5333
SALEMI,TP,Sicilia,si,7,2016-12-31,Pdf - Immagine,si,si,si,si,no,si,si,si,si,si,no,TP,Trapani,38.0167,12.5333
SAN VITO LO CAPO,TP,Sicilia,si,21,2019-02-19,Pdf - Ricercabile,si,si,si,si,si,si,si,no,si,si,no,TP,Trapani,38.0167,12.5333
TRAPANI,TP,Sicilia,si,25,2020-02-20,Pdf - Ricercabile,si,si,si,si,si,no,si,no,si,no,no,TP,Trapani,38.0167,12.5333
VALDERICE,TP,Sicilia,no,27,,,no,no,no,no,no,no,no,no,no,no,no,TP,Trapani,38.0167,12.5333
VITA,TP,Sicilia,no,5,,,no,no,no,no,no,no,no,no,no,no,no,TP,Trapani,38.0167,12.5333
MARCIANO DELLA CHIANA,AR,Toscana,no,39,,,no,no,no,no,no,no,no,no,no,no,no,AR,Arezzo,43.4667,11.8833
TERRANUOVA BRACCIOLINI,AR,Toscana,si,4,2020-07-14,Pdf - Ricercabile,si,si,si,si,no,si,no,no,no,no,no,AR,Arezzo,43.4667,11.8833
CAMPI BISENZIO,FI,Toscana,si,2,,,si,si,no,si,si,si,si,si,no,no,no,FI,Firenze,43.7667,11.25
FIRENZE,FI,Toscana,si,6,,Pdf - Ricercabile,si,no,si,si,si,si,si,no,no,no,no,FI,Firenze,43.7667,11.25
MONTE ARGENTARIO,GR,Toscana,no,7,,,no,no,no,no,no,no,no,no,no,no,no,GR,Grosseto,42.7667,11.1167
ROSIGNANO MARITTIMO,LI,Toscana,no,1,,,no,no,no,no,no,no,no,no,no,no,no,LI,Livorno,43.55,10.3167
ALTOPASCIO,LU,Toscana,si,5,,Ods,si,si,si,no,no,no,no,no,no,no,no,LU,Lucca,43.85,10.5167
FORTE DEI MARMI,LU,Toscana,no,2,,,no,no,no,no,no,no,no,no,no,no,no,LU,Lucca,43.85,10.5167
LUCCA,LU,Toscana,no,3,,,no,no,no,no,no,no,no,no,no,no,no,LU,Lucca,43.85,10.5167
VIAREGGIO,LU,Toscana,si,3,2020-10-22,Pdf - Ricercabile,si,si,si,si,si,si,no,no,si,no,no,LU,Lucca,43.85,10.5167
LICCIANA NARDI,MS,Toscana,no,2,,,no,no,no,no,no,no,no,no,no,no,no,MS,Massa,44.3333,10.0833
MASSA,MS,Toscana,no,5,,,no,no,no,no,no,no,no,no,no,no,no,MS,Massa,44.3333,10.0833
MONTIGNOSO,MS,Toscana,no,6,,,no,no,no,no,no,no,no,no,no,no,no,MS,Massa,44.3333,10.0833
CASCINA,PI,Toscana,si,1,,Tabella online non scaricabile,si,si,si,si,si,si,si,si,si,si,si,PI,Pisa,43.7167,10.4
MONTOPOLI IN VAL D'ARNO,PI,Toscana,no,2,,,no,no,no,no,no,no,no,no,no,no,no,PI,Pisa,43.7167,10.4
MONTEMURLO,PO,Toscana,no,3,,,no,no,no,no,no,no,no,no,no,no,no,PO,Prato,43.8833,11.1
VAIANO,PO,Toscana,no,3,,,no,no,no,no,no,no,no,no,no,no,no,PO,Prato,43.8833,11.1
BUGGIANO,PT,Toscana,no,2,,,no,no,no,no,no,no,no,no,no,no,no,PT,Pistoia,43.9333,10.9167
LARCIANO,PT,Toscana,no,9,,,no,no,no,no,no,no,no,no,no,no,no,PT,Pistoia,43.9333,10.9167
MASSA E COZZILE,PT,Toscana,no,1,,,no,no,no,no,no,no,no,no,no,no,no,PT,Pistoia,43.9333,10.9167
MONTALE,PT,Toscana,no,2,,,no,no,no,no,no,no,no,no,no,no,no,PT,Pistoia,43.9333,10.9167
MONTECATINI-TERME,PT,Toscana,si,13,2020-10-22,Pdf - Ricercabile,si,si,si,no,si,si,si,si,si,si,no,PT,Pistoia,43.9333,10.9167
CHIANCIANO TERME,SI,Toscana,no,4,,,no,no,no,no,no,no,no,no,no,no,no,SI,Siena,43.3167,11.3
RADDA IN CHIANTI,SI,Toscana,si,1,2020-10-22,Pdf - Immagine,si,no,si,no,si,no,no,no,no,no,no,SI,Siena,43.3167,11.3
RADICOFANI,SI,Toscana,no,1,,,no,no,no,no,no,no,no,no,no,no,no,SI,Siena,43.3167,11.3
MEZZANA,TN,Trentino Alto Adige,no,1,,,no,no,no,no,no,no,no,no,no,no,no,TN,Trento,46.0667,11.1333
RIVA DEL GARDA,TN,Trentino Alto Adige,si,1,,Pdf - Immagine,si,no,si,si,si,si,si,no,si,no,si,TN,Trento,46.0667,11.1333
STREMBO,TN,Trentino Alto Adige,no,1,,,no,no,no,no,no,no,no,no,no,no,no,TN,Trento,46.0667,11.1333
TRENTO,TN,Trentino Alto Adige,no,13,,,no,no,no,no,no,no,no,no,no,no,no,TN,Trento,46.0667,11.1333
BASTIA UMBRA,PG,Umbria,no,2,,,no,no,no,no,no,no,no,no,no,no,no,PG,Perugia,43.1167,12.4
MASSA MARTANA,PG,Umbria,no,4,,,no,no,no,no,no,no,no,no,no,no,no,PG,Perugia,43.1167,12.4
PERUGIA,PG,Umbria,no,2,,,no,no,no,no,no,no,no,no,no,no,no,PG,Perugia,43.1167,12.4
PIETRALUNGA,PG,Umbria,no,28,,,no,no,no,no,no,no,no,no,no,no,no,PG,Perugia,43.1167,12.4
SPOLETO,PG,Umbria,no,5,,,no,no,no,no,no,no,no,no,no,no,no,PG,Perugia,43.1167,12.4
ACQUASPARTA,TR,Umbria,no,1,,,no,si,no,no,no,no,no,no,no,no,no,TR,Terni,42.5667,12.6667
TERNI,TR,Umbria,si,1,2017-12-14,Pdf - Ricercabile,si,si,si,si,si,si,no,no,no,no,no,TR,Terni,42.5667,12.6667
CHALLAND-SAINT-VICTOR,AO,Valle D'Aosta,no,7,,,no,no,no,no,no,no,no,no,no,no,no,AO,Aosta,45.7333,7.3167
BELLUNO,BL,Veneto,si,6,2020-09-02,Ods,si,si,no,no,si,si,si,si,no,no,no,BL,Belluno,46.1333,12.2167
PADOVA,PD,Veneto,no,5,,,no,no,no,no,no,no,no,no,no,no,no,PD,Padova,45.4,11.8833
SACCOLONGO,PD,Veneto,no,2,,,no,no,no,no,no,no,no,no,no,no,no,PD,Padova,45.4,11.8833
BADIA POLESINE,RO,Veneto,si,3,2020-10-16,Pdf - Immagine,si,no,no,no,si,si,no,si,no,no,si,RO,Rovigo,45.0667,11.8
PAESE,TV,Veneto,si,3,2019-10-25,Pdf - Immagine,si,si,no,no,no,no,si,no,no,no,no,TV,Treviso,45.6667,12.25
SUSEGANA,TV,Veneto,no,1,,,no,no,no,no,no,no,no,no,no,no,no,TV,Treviso,45.6667,12.25
TREVIGNANO,TV,Veneto,no,2,,,no,no,no,no,no,no,no,no,no,no,no,TV,Treviso,45.6667,12.25
CAMPAGNA LUPIA,VE,Veneto,si,3,2017-02-08,Pdf - Ricercabile,no,si,si,si,si,si,si,si,si,si,si,VE,Venezia,45.4333,12.35
